nh_nt_nt_nt,2
nt_nt_nt_n,1
nt_nt_n_wp,3
nt_n_wp_v,11
n_wp_v_ns,6
wp_v_ns_wp,6
v_ns_wp_d,2
ns_wp_d_nt,1
wp_d_nt_n,1
d_nt_n_wp,1
n_wp_v_n,154
wp_v_n_u,82
v_n_u_wp,154
n_u_wp_p,22
u_wp_p_v,25
wp_p_v_p,15
p_v_p_nt,8
v_p_nt_v,3
p_nt_v_n,4
nt_v_n_n,3
v_n_n_wp,67
n_n_wp_c,21
n_wp_c_v,71
wp_c_v_nt,1
c_v_nt_wp,1
v_nt_wp_c,4
nt_wp_c_d,4
wp_c_d_v,57
c_d_v_n,9
d_v_n_u,35
n_u_wp_v,99
u_wp_v_u,22
wp_v_u_nt,1
v_u_nt_n,1
u_nt_n_wp,1
nt_n_wp_ns,1
n_wp_ns_v,3
wp_ns_v_wp,3
ns_v_wp_n,2
v_wp_n_p,33
wp_n_p_nt,5
n_p_nt_m,2
p_nt_m_n,1
nt_m_n_p,1
m_n_p_ns,1
n_p_ns_k,1
p_ns_k_v,1
ns_k_v_wp,1
k_v_wp_v,1
v_wp_v_v,111
wp_v_v_n,115
v_v_n_wp,166
v_n_wp_n,233
n_wp_n_d,59
wp_n_d_v,154
n_d_v_ns,1
d_v_ns_wp,3
v_ns_wp_n,7
ns_wp_n_p,2
wp_n_p_v,30
n_p_v_v,9
p_v_v_wp,23
v_v_wp_nt,14
v_wp_nt_wp,24
wp_nt_wp_d,4
nt_wp_d_a,1
wp_d_a_n,9
d_a_n_d,2
a_n_d_v,6
n_d_v_n,42
d_v_n_p,19
v_n_p_nt,8
n_p_nt_wp,13
p_nt_wp_nt,6
nt_wp_nt_wp,2
wp_nt_wp_j,7
nt_wp_j_j,2
wp_j_j_wp,5
j_j_wp_nh,4
j_wp_nh_a,1
wp_nh_a_n,5
nh_a_n_u,4
a_n_u_n,13
n_u_n_n,24
u_n_n_wp,24
n_n_wp_v,52
n_wp_v_r,73
wp_v_r_n,78
v_r_n_wp,149
r_n_wp_v,69
v_r_n_n,22
r_n_n_p,3
n_n_p_n,16
n_p_n_nd,8
p_n_nd_wp,15
n_nd_wp_p,2
nd_wp_p_v,1
wp_p_v_nd,1
p_v_nd_n,1
v_nd_n_u,2
nd_n_u_n,3
n_u_n_a,7
u_n_a_p,3
n_a_p_n,3
a_p_n_wp,12
p_n_wp_p,20
n_wp_p_v,62
wp_p_v_n,61
p_v_n_wp,96
n_wp_n_p,31
wp_n_p_nh,10
n_p_nh_p,1
p_nh_p_n,2
nh_p_n_u,2
p_n_u_n,25
n_u_n_v,23
u_n_v_n,7
n_v_n_c,10
v_n_c_nh,2
n_c_nh_wp,2
c_nh_wp_v,2
nh_wp_v_wp,5
wp_v_wp_n,29
v_wp_n_a,9
wp_n_a_p,4
n_a_p_nh,1
a_p_nh_wp,2
p_nh_wp_p,4
nh_wp_p_p,1
wp_p_p_r,3
p_p_r_v,2
p_r_v_wp,18
r_v_wp_nt,2
wp_nt_wp_n,45
nt_wp_n_a,2
wp_n_a_v,37
n_a_v_wp,22
a_v_wp_v,10
v_wp_v_nh,16
wp_v_nh_wp,16
v_nh_wp_v,13
wp_v_wp_nh,13
v_wp_nh_c,4
wp_nh_c_v,2
nh_c_v_wp,5
c_v_wp_v,32
v_wp_v_n,135
wp_v_n_wp,178
v_n_wp_nt,12
n_wp_nt_wp,22
nt_wp_n_nt,2
wp_n_nt_wp,4
n_nt_wp_n,5
nt_wp_n_u,5
wp_n_u_wp,48
n_u_wp_nt,26
u_wp_nt_wp,28
wp_nt_wp_v,29
nt_wp_v_n,17
wp_v_n_n,55
n_n_wp_j,5
n_wp_j_v,9
wp_j_v_n,14
j_v_n_n,2
v_n_n_v,14
n_n_v_wp,60
n_v_wp_n,106
v_wp_n_u,50
n_u_wp_d,37
u_wp_d_n,3
wp_d_n_v,8
d_n_v_wp,3
v_wp_n_v,164
wp_n_v_r,101
n_v_r_wp,113
v_r_wp_n,78
r_wp_n_v,53
wp_n_v_u,43
n_v_u_wp,59
v_u_wp_p,29
wp_p_v_v,20
p_v_v_n,17
v_n_wp_v,241
n_wp_v_v,125
wp_v_v_wp,123
v_v_wp_n,65
wp_n_u_a,13
n_u_a_n,5
u_a_n_u,4
a_n_u_wp,16
n_u_wp_n,90
u_wp_n_nt,2
wp_n_nt_nt,6
n_nt_nt_nt,6
nt_nt_nt_wp,12
nt_nt_wp_nh,13
nt_wp_nh_v,20
wp_nh_v_wp,111
nh_v_wp_j,1
v_wp_j_v,9
wp_j_v_u,3
j_v_u_wp,4
v_u_wp_v,111
u_wp_v_v,56
wp_v_v_ns,4
v_v_ns_wp,4
ns_wp_n_v,6
wp_n_v_d,24
n_v_d_v,24
v_d_v_n,23
d_v_n_v,11
v_n_v_v,35
n_v_v_p,14
v_v_p_v,10
v_p_v_n,30
p_v_n_d,2
v_n_d_i,2
n_d_i_wp,6
d_i_wp_n,4
i_wp_n_v,28
wp_n_v_v,140
n_v_v_wp,112
wp_n_v_p,49
n_v_p_v,27
v_p_v_a,2
p_v_a_n,8
v_a_n_r,3
a_n_r_v,1
n_r_v_a,1
r_v_a_u,6
v_a_u_wp,29
a_u_wp_nt,4
v_n_wp_nd,5
n_wp_nd_wp,5
wp_nd_wp_nh,9
nd_wp_nh_v,7
wp_nh_v_n,48
nh_v_n_wp,42
v_n_wp_p,46
n_wp_p_r,17
wp_p_r_v,16
p_r_v_n,9
r_v_n_wp,33
n_wp_n_v,242
v_p_v_wp,30
p_v_wp_n,21
wp_n_v_wp,235
n_v_wp_wp,237
v_wp_wp_b,6
wp_wp_b_u,2
wp_b_u_wp,6
b_u_wp_n,4
u_wp_n_v,79
n_v_u_v,7
v_u_v_wp,32
u_v_wp_n,12
v_wp_n_wp,52
wp_n_wp_v,78
n_wp_v_k,3
wp_v_k_u,1
v_k_u_wp,9
k_u_wp_v,1
u_wp_v_n,63
wp_v_n_p,36
v_n_p_v,36
n_p_v_n,38
wp_n_d_a,24
n_d_a_u,8
d_a_u_wp,27
a_u_wp_wp,37
u_wp_wp_n,114
wp_wp_n_wp,57
n_wp_v_wp,119
wp_v_wp_wp,193
v_wp_wp_r,79
wp_wp_r_n,25
wp_r_n_n,9
r_n_n_wp,18
r_n_wp_ns,1
n_wp_ns_u,2
wp_ns_u_n,5
ns_u_n_wp,6
u_n_wp_wp,9
n_wp_wp_nh,19
wp_wp_nh_p,5
wp_nh_p_v,8
nh_p_v_p,5
p_v_p_d,1
v_p_d_v,10
p_d_v_u,5
d_v_u_wp,122
v_u_wp_c,45
u_wp_c_nh,5
wp_c_nh_wp,3
c_nh_wp_n,1
nh_wp_n_u,11
wp_n_u_n,117
n_u_n_u,75
u_n_u_wp,116
n_u_wp_wp,88
v_wp_wp_v,200
wp_wp_v_n,110
wp_v_n_v,136
v_n_v_n,54
n_v_n_wp,185
v_n_wp_i,10
n_wp_i_wp,27
wp_i_wp_p,3
i_wp_p_n,2
wp_p_n_wp,9
p_n_wp_v,64
v_n_v_wp,119
v_wp_wp_wp,14
wp_wp_wp_v,5
wp_wp_v_v,91
wp_v_v_r,49
v_v_r_n,26
r_n_wp_nh,19
n_wp_nh_n,22
wp_nh_n_v,40
nh_n_v_v,7
v_v_wp_v,104
v_wp_n_d,42
n_d_v_wp,124
d_v_wp_c,25
v_wp_c_a,5
wp_c_a_a,2
c_a_a_n,2
a_a_n_wp,3
a_n_wp_ns,2
n_wp_ns_wp,3
wp_ns_wp_p,1
ns_wp_p_v,1
wp_p_v_r,14
p_v_r_wp,23
v_r_wp_nh,33
r_wp_nh_v,21
n_v_v_v,15
v_v_v_p,8
v_v_p_nt,13
v_p_nt_wp,52
p_nt_wp_n,20
nt_wp_n_v,44
n_v_wp_j,8
v_wp_j_n,7
wp_j_n_p,3
j_n_p_nh,2
n_p_nh_i,1
p_nh_i_wp,3
nh_i_wp_a,1
i_wp_a_v,1
wp_a_v_n,11
a_v_n_p,1
v_n_p_r,11
n_p_r_n,20
p_r_n_wp,61
n_u_wp_c,32
u_wp_c_v,38
wp_c_v_r,36
c_v_r_wp,96
v_r_wp_v,143
r_wp_v_v,39
v_v_n_c,9
v_n_c_n,12
n_c_n_wp,17
c_n_wp_r,2
n_wp_r_r,4
wp_r_r_v,16
r_r_v_r,2
r_v_r_wp,19
r_wp_v_n,35
v_n_wp_d,79
n_wp_d_m,4
wp_d_m_n,5
d_m_n_wp,5
m_n_wp_wp,5
