nh_nt_nt_nt,5
nt_nt_nt_wp,11
nt_nt_wp_v,7
nt_wp_v_v,12
wp_v_v_n,58
v_v_n_nh,2
v_n_nh_v,1
n_nh_v_p,2
nh_v_p_nh,3
v_p_nh_wp,14
p_nh_wp_n,3
nh_wp_n_d,2
wp_n_d_v,85
n_d_v_v,19
d_v_v_wp,24
v_v_wp_nh,17
v_wp_nh_v,20
wp_nh_v_n,16
nh_v_n_wp,18
v_n_wp_d,23
n_wp_d_d,9
wp_d_d_v,23
d_d_v_r,4
d_v_r_wp,23
v_r_wp_n,35
r_wp_n_v,22
wp_n_v_v,70
n_v_v_wp,48
v_v_wp_wp,62
v_wp_wp_v,77
wp_wp_v_c,4
wp_v_c_v,31
v_c_v_wp,27
c_v_wp_r,3
v_wp_r_d,5
wp_r_d_v,20
r_d_v_wp,11
d_v_wp_v,53
v_wp_v_d,12
wp_v_d_a,4
v_d_a_wp,5
d_a_wp_n,6
a_wp_n_d,5
wp_n_d_i,1
n_d_i_wp,1
d_i_wp_n,1
i_wp_n_nh,1
wp_n_nh_v,5
n_nh_v_wp,5
nh_v_wp_p,2
v_wp_p_r,6
wp_p_r_p,2
p_r_p_v,2
r_p_v_wp,4
p_v_wp_wp,37
v_wp_wp_d,46
wp_wp_d_v,50
wp_d_v_wp,56
d_v_wp_d,11
v_wp_d_v,48
wp_d_v_n,32
d_v_n_n,7
v_n_n_wp,29
n_n_wp_nt,4
n_wp_nt_v,4
wp_nt_v_wp,5
nt_v_wp_n,3
v_wp_n_p,9
wp_n_p_nh,1
n_p_nh_r,1
p_nh_r_n,1
nh_r_n_wp,2
r_n_wp_v,19
n_wp_v_d,15
v_d_a_v,1
d_a_v_wp,2
a_v_wp_v,10
v_wp_v_n,48
wp_v_n_m,1
v_n_m_wp,2
n_m_wp_v,1
m_wp_v_d,1
wp_v_d_v,29
v_d_v_n,11
d_v_n_wp,57
v_n_wp_nt,5
n_wp_nt_wp,16
wp_nt_wp_n,23
nt_wp_n_p,5
wp_n_p_a,4
n_p_a_n,4
p_a_n_wp,11
a_n_wp_nt,5
wp_nt_wp_nh,20
nt_wp_nh_n,7
wp_nh_n_v,31
nh_n_v_v,6
v_v_wp_nt,10
v_wp_nt_wp,14
nt_wp_n_v,19
n_v_v_n,32
v_v_n_wp,75
v_n_wp_i,4
n_wp_i_wp,7
wp_i_wp_v,13
i_wp_v_v,9
wp_v_v_wp,46
v_v_wp_v,35
v_wp_v_wp,16
wp_v_wp_wp,87
v_wp_wp_a,14
wp_wp_a_wp,3
wp_a_wp_j,3
a_wp_j_v,2
wp_j_v_wp,4
j_v_wp_r,1
v_wp_r_a,1
wp_r_a_c,1
r_a_c_j,1
a_c_j_n,2
c_j_n_wp,2
j_n_wp_j,1
n_wp_j_wp,5
wp_j_wp_n,5
j_wp_n_wp,2
wp_n_wp_n,13
n_wp_n_d,33
n_d_v_wp,46
d_v_wp_c,21
v_wp_c_v,33
wp_c_v_v,15
c_v_v_wp,9
v_wp_nt_d,2
wp_nt_d_v,5
