Word,PoS,Total Count,Word Frequency,Unary Probability
自,r,1,0.000238,0.000238
吾,r,37,0.008810,0.008810
之,u,104,0.024762,0.024762
固,d,1,0.000238,0.000238
不,d,123,0.029286,0.029286
焉,r,6,0.001429,0.001429
其,r,55,0.013095,0.013095
故,c,6,0.001429,0.001429
之,r,45,0.010714,0.010714
甚,d,1,0.000238,0.000238
而,c,71,0.016905,0.016905
又,d,12,0.002857,0.002857
于,p,58,0.013810,0.013810
矣,u,25,0.005952,0.005952
将,p,5,0.001190,0.001190
焉,u,8,0.001905,0.001905
以,p,79,0.018810,0.018810
若,c,8,0.001905,0.001905
也,u,60,0.014286,0.014286
未,d,2,0.000476,0.000476
既,c,7,0.001667,0.001667
何,r,23,0.005476,0.005476
已,d,3,0.000714,0.000714
为,p,6,0.001429,0.001429
我,r,21,0.005000,0.005000
从,p,5,0.001190,0.001190
乃,c,3,0.000714,0.000714
兹,r,1,0.000238,0.000238
皆,d,2,0.000476,0.000476
己,r,3,0.000714,0.000714
独,d,1,0.000238,0.000238
可,d,2,0.000476,0.000476
乎,u,18,0.004286,0.004286
且,c,13,0.003095,0.003095
所,u,12,0.002857,0.002857
然,r,3,0.000714,0.000714
将,d,19,0.004524,0.004524
矣,r,1,0.000238,0.000238
对,p,7,0.001667,0.001667
亦,d,9,0.002143,0.002143
多,d,2,0.000476,0.000476
以,c,5,0.001190,0.001190
彼,r,1,0.000238,0.000238
及,c,10,0.002381,0.002381
唯,d,5,0.001190,0.001190
因,p,2,0.000476,0.000476
自,p,2,0.000476,0.000476
方,d,2,0.000476,0.000476
必,d,13,0.003095,0.003095
与,c,4,0.000952,0.000952
也,d,5,0.001190,0.001190
才,d,1,0.000238,0.000238
然,c,1,0.000238,0.000238
与,p,4,0.000952,0.000952
犹,d,1,0.000238,0.000238
谁,r,12,0.002857,0.002857
重,d,3,0.000714,0.000714
孰,r,5,0.001190,0.001190
足,d,1,0.000238,0.000238
共,d,3,0.000714,0.000714
尽,d,1,0.000238,0.000238
遂,d,3,0.000714,0.000714
同,d,1,0.000238,0.000238
复,d,1,0.000238,0.000238
在,p,12,0.002857,0.002857
尔,r,1,0.000238,0.000238
则,c,6,0.001429,0.001429
除,p,1,0.000238,0.000238
非,d,6,0.001429,0.001429
本,r,1,0.000238,0.000238
者,r,6,0.001429,0.001429
此,r,1,0.000238,0.000238
果,d,1,0.000238,0.000238
先,d,4,0.000952,0.000952
焉,d,1,0.000238,0.000238
岂,d,3,0.000714,0.000714
欲,d,3,0.000714,0.000714
莫,d,2,0.000476,0.000476
常,d,3,0.000714,0.000714
始,d,1,0.000238,0.000238
终,d,1,0.000238,0.000238
因,c,2,0.000476,0.000476
勿,d,1,0.000238,0.000238
则,d,2,0.000476,0.000476
各,r,1,0.000238,0.000238
恐,d,1,0.000238,0.000238
反,d,1,0.000238,0.000238
弗,d,1,0.000238,0.000238
