Word,PoS,Total Count,Word Frequency,Unary Probability
既,c,1,0.000528,0.000528
于,p,31,0.016359,0.016359
诸,r,6,0.003166,0.003166
不,d,54,0.028496,0.028496
此,r,2,0.001055,0.001055
之,u,60,0.031662,0.031662
也,u,38,0.020053,0.020053
将,p,2,0.001055,0.001055
焉,u,6,0.003166,0.003166
若,c,5,0.002639,0.002639
而,c,41,0.021636,0.021636
之,r,20,0.010554,0.010554
其,r,28,0.014776,0.014776
欲,d,1,0.000528,0.000528
将,d,3,0.001583,0.001583
故,c,5,0.002639,0.002639
谁,r,1,0.000528,0.000528
以,p,25,0.013193,0.013193
在,p,4,0.002111,0.002111
常,d,1,0.000528,0.000528
亦,d,1,0.000528,0.000528
由,p,1,0.000528,0.000528
对,p,6,0.003166,0.003166
与,c,2,0.001055,0.001055
乎,u,3,0.001583,0.001583
至,p,1,0.000528,0.000528
为,p,12,0.006332,0.006332
和,c,3,0.001583,0.001583
也,d,1,0.000528,0.000528
兹,r,2,0.001055,0.001055
则,c,5,0.002639,0.002639
且,c,4,0.002111,0.002111
乎,p,1,0.000528,0.000528
我,r,1,0.000528,0.000528
勿,d,1,0.000528,0.000528
终,d,1,0.000528,0.000528
与,p,2,0.001055,0.001055
孰,r,2,0.001055,0.001055
莫,d,3,0.001583,0.001583
从,p,1,0.000528,0.000528
和,p,1,0.000528,0.000528
非,d,1,0.000528,0.000528
所,u,1,0.000528,0.000528
比,p,1,0.000528,0.000528
因,p,1,0.000528,0.000528
犹,d,1,0.000528,0.000528
遂,d,1,0.000528,0.000528
必,d,1,0.000528,0.000528
及,c,1,0.000528,0.000528
正,d,1,0.000528,0.000528
共,d,1,0.000528,0.000528
何,r,2,0.001055,0.001055
夫,u,1,0.000528,0.000528
则,d,1,0.000528,0.000528
矣,u,2,0.001055,0.001055
未,d,1,0.000528,0.000528
