Word,PoS,Total Count,Word Frequency,Unary Probability
在,p,22,0.003073,0.003073
吾,r,19,0.002654,0.002654
此,r,18,0.002515,0.002515
也,u,162,0.022632,0.022632
非,d,3,0.000419,0.000419
以,p,118,0.016485,0.016485
而,c,110,0.015367,0.015367
休,d,1,0.000140,0.000140
矣,u,48,0.006706,0.006706
将,d,25,0.003493,0.003493
谁,r,10,0.001397,0.001397
之,u,186,0.025985,0.025985
乎,u,28,0.003912,0.003912
不,d,145,0.020257,0.020257
其,r,85,0.011875,0.011875
欲,d,10,0.001397,0.001397
必,d,27,0.003772,0.003772
以,c,3,0.000419,0.000419
终,d,2,0.000279,0.000279
兹,r,1,0.000140,0.000140
皆,d,14,0.001956,0.001956
然,r,8,0.001118,0.001118
乃,c,8,0.001118,0.001118
于,p,92,0.012853,0.012853
与,p,11,0.001537,0.001537
之,r,83,0.011595,0.011595
又,d,10,0.001397,0.001397
何,r,32,0.004471,0.004471
焉,r,8,0.001118,0.001118
及,c,14,0.001956,0.001956
所,u,23,0.003213,0.003213
遂,d,6,0.000838,0.000838
甚,d,2,0.000279,0.000279
焉,u,27,0.003772,0.003772
已,d,4,0.000559,0.000559
从,p,26,0.003632,0.003632
者,r,13,0.001816,0.001816
莫,d,2,0.000279,0.000279
极,d,1,0.000140,0.000140
自,r,6,0.000838,0.000838
未,d,5,0.000699,0.000699
每,r,1,0.000140,0.000140
犹,d,4,0.000559,0.000559
将,p,6,0.000838,0.000838
矣,r,1,0.000140,0.000140
与,c,5,0.000699,0.000699
亦,d,10,0.001397,0.001397
故,c,17,0.002375,0.002375
从中,d,1,0.000140,0.000140
唯,d,10,0.001397,0.001397
若,c,19,0.002654,0.002654
且,c,11,0.001537,0.001537
对,p,19,0.002654,0.002654
仍,d,1,0.000140,0.000140
自,p,3,0.000419,0.000419
共,d,1,0.000140,0.000140
相,d,10,0.001397,0.001397
比,p,2,0.000279,0.000279
固,d,2,0.000279,0.000279
先,d,16,0.002235,0.002235
则,d,9,0.001257,0.001257
用,p,4,0.000559,0.000559
约,d,2,0.000279,0.000279
同,p,5,0.000699,0.000699
还,d,2,0.000279,0.000279
既,c,4,0.000559,0.000559
则,c,16,0.002235,0.002235
我,r,11,0.001537,0.001537
彼,r,2,0.000279,0.000279
己,r,6,0.000838,0.000838
方,d,2,0.000279,0.000279
同,d,1,0.000140,0.000140
别,d,1,0.000140,0.000140
凡,d,1,0.000140,0.000140
为,p,5,0.000699,0.000699
也,d,10,0.001397,0.001397
复,d,1,0.000140,0.000140
诸,r,1,0.000140,0.000140
岂,d,2,0.000279,0.000279
尚,d,2,0.000279,0.000279
孰,r,1,0.000140,0.000140
勿,d,2,0.000279,0.000279
由,p,1,0.000140,0.000140
因,p,2,0.000279,0.000279
尔,r,1,0.000140,0.000140
余,r,1,0.000140,0.000140
屡,d,1,0.000140,0.000140
除,p,1,0.000140,0.000140
然,c,1,0.000140,0.000140
至,p,2,0.000279,0.000279
然后,c,1,0.000140,0.000140
故,d,1,0.000140,0.000140
哉,u,1,0.000140,0.000140
直,d,2,0.000279,0.000279
尽,d,1,0.000140,0.000140
乎,p,2,0.000279,0.000279
多,d,1,0.000140,0.000140
