Word,PoS,Total Count,Word Frequency,Unary Probability
而,c,82,0.025184,0.025184
之,u,84,0.025799,0.025799
之,r,45,0.013821,0.013821
其,r,61,0.018735,0.018735
终,d,1,0.000307,0.000307
不,d,100,0.030713,0.030713
既,c,3,0.000921,0.000921
于,p,34,0.010442,0.010442
哉,u,4,0.001229,0.001229
以,p,41,0.012592,0.012592
故,c,8,0.002457,0.002457
矣,u,11,0.003378,0.003378
共,d,8,0.002457,0.002457
也,u,51,0.015663,0.015663
孰,r,5,0.001536,0.001536
斯,r,1,0.000307,0.000307
更,d,1,0.000307,0.000307
兮,u,9,0.002764,0.002764
各,r,1,0.000307,0.000307
尔,r,1,0.000307,0.000307
所,u,6,0.001843,0.001843
若,c,12,0.003686,0.003686
吾,r,10,0.003071,0.003071
为,p,5,0.001536,0.001536
甚,d,1,0.000307,0.000307
必,d,17,0.005221,0.005221
亦,d,4,0.001229,0.001229
或,c,1,0.000307,0.000307
乎,u,18,0.005528,0.005528
何,r,13,0.003993,0.003993
欲,d,1,0.000307,0.000307
先,d,1,0.000307,0.000307
者,r,7,0.002150,0.002150
勿,d,3,0.000921,0.000921
将,d,13,0.003993,0.003993
矣,r,1,0.000307,0.000307
及,c,4,0.001229,0.001229
且,c,8,0.002457,0.002457
与,p,6,0.001843,0.001843
也,d,9,0.002764,0.002764
我,r,15,0.004607,0.004607
皆,d,5,0.001536,0.001536
自,p,2,0.000614,0.000614
固,d,2,0.000614,0.000614
又,d,12,0.003686,0.003686
此,r,2,0.000614,0.000614
唯,d,1,0.000307,0.000307
足,d,3,0.000921,0.000921
莫,d,7,0.002150,0.002150
已,d,2,0.000614,0.000614
则,c,4,0.001229,0.001229
然后,c,1,0.000307,0.000307
焉,r,3,0.000921,0.000921
谁,r,1,0.000307,0.000307
然,r,7,0.002150,0.002150
遂,d,2,0.000614,0.000614
己,r,2,0.000614,0.000614
未,d,2,0.000614,0.000614
还,d,1,0.000307,0.000307
彼,r,1,0.000307,0.000307
就,d,1,0.000307,0.000307
与,c,1,0.000307,0.000307
恐,d,2,0.000614,0.000614
岂,d,2,0.000614,0.000614
徒,d,3,0.000921,0.000921
余,r,1,0.000307,0.000307
乃,c,1,0.000307,0.000307
再,d,1,0.000307,0.000307
则,d,1,0.000307,0.000307
故,d,1,0.000307,0.000307
在,p,2,0.000614,0.000614
焉,u,4,0.001229,0.001229
犹,d,3,0.000921,0.000921
和,c,1,0.000307,0.000307
对,p,4,0.001229,0.001229
比,p,1,0.000307,0.000307
和,p,1,0.000307,0.000307
独,d,1,0.000307,0.000307
以,c,1,0.000307,0.000307
由,p,1,0.000307,0.000307
自,r,2,0.000614,0.000614
