Word,PoS,Total Count,Word Frequency,Unary Probability
于,p,28,0.014085,0.014085
其,r,44,0.022133,0.022133
之,r,33,0.016600,0.016600
从,p,5,0.002515,0.002515
而,c,51,0.025654,0.025654
之,u,64,0.032193,0.032193
也,u,46,0.023139,0.023139
与,p,4,0.002012,0.002012
既,c,3,0.001509,0.001509
以,p,34,0.017103,0.017103
乎,u,6,0.003018,0.003018
对,p,11,0.005533,0.005533
故,c,5,0.002515,0.002515
也,d,14,0.007042,0.007042
所,u,4,0.002012,0.002012
何,r,17,0.008551,0.008551
不,d,36,0.018109,0.018109
为,p,5,0.002515,0.002515
吾,r,17,0.008551,0.008551
矣,u,13,0.006539,0.006539
及,c,6,0.003018,0.003018
则,c,5,0.002515,0.002515
若,c,4,0.002012,0.002012
将,d,11,0.005533,0.005533
且,c,1,0.000503,0.000503
未,d,2,0.001006,0.001006
必,d,6,0.003018,0.003018
谁,r,2,0.001006,0.001006
孰,r,1,0.000503,0.000503
焉,u,12,0.006036,0.006036
非,d,2,0.001006,0.001006
皆,d,2,0.001006,0.001006
焉,r,1,0.000503,0.000503
同,d,1,0.000503,0.000503
莫,d,3,0.001509,0.001509
犹,d,1,0.000503,0.000503
哉,u,1,0.000503,0.000503
此,r,2,0.001006,0.001006
自,r,1,0.000503,0.000503
甚,d,1,0.000503,0.000503
诸,r,6,0.003018,0.003018
以,c,3,0.001509,0.001509
尔,r,4,0.002012,0.002012
唯,d,1,0.000503,0.000503
至,d,1,0.000503,0.000503
余,r,1,0.000503,0.000503
在,p,2,0.001006,0.001006
亦,d,2,0.001006,0.001006
先,d,1,0.000503,0.000503
则,d,1,0.000503,0.000503
我,r,2,0.001006,0.001006
夫,u,3,0.001509,0.001509
是,r,1,0.000503,0.000503
已,d,1,0.000503,0.000503
然,r,1,0.000503,0.000503
