Word,PoS,Total Count,Word Frequency,Unary Probability
而,c,55,0.020258,0.020258
欲,d,5,0.001842,0.001842
之,u,70,0.025783,0.025783
者,r,13,0.004788,0.004788
何,r,7,0.002578,0.002578
对,p,16,0.005893,0.005893
与,p,18,0.006630,0.006630
与,c,8,0.002947,0.002947
不,d,76,0.027993,0.027993
其,r,49,0.018048,0.018048
以,p,33,0.012155,0.012155
为,p,9,0.003315,0.003315
之,r,47,0.017311,0.017311
未,d,5,0.001842,0.001842
先,d,4,0.001473,0.001473
此,r,7,0.002578,0.002578
于,p,37,0.013628,0.013628
若,c,3,0.001105,0.001105
将,d,16,0.005893,0.005893
也,u,26,0.009576,0.009576
所,u,6,0.002210,0.002210
因,p,7,0.002578,0.002578
吾,r,13,0.004788,0.004788
已,d,5,0.001842,0.001842
矣,u,9,0.003315,0.003315
焉,r,6,0.002210,0.002210
以,c,4,0.001473,0.001473
乎,u,11,0.004052,0.004052
又,c,1,0.000368,0.000368
随,p,1,0.000368,0.000368
复,d,2,0.000737,0.000737
我,r,4,0.001473,0.001473
亦,d,3,0.001105,0.001105
及,c,2,0.000737,0.000737
唯,d,3,0.001105,0.001105
然后,c,2,0.000737,0.000737
皆,d,3,0.001105,0.001105
自,p,1,0.000368,0.000368
同,p,2,0.000737,0.000737
除,p,1,0.000368,0.000368
必,d,5,0.001842,0.001842
则,c,2,0.000737,0.000737
因,c,3,0.001105,0.001105
自,d,1,0.000368,0.000368
故,c,3,0.001105,0.001105
甚,d,2,0.000737,0.000737
既,c,1,0.000368,0.000368
常,d,1,0.000368,0.000368
则,d,6,0.002210,0.002210
又,d,9,0.003315,0.003315
焉,u,1,0.000368,0.000368
反,d,1,0.000368,0.000368
相,d,4,0.001473,0.001473
莫,d,2,0.000737,0.000737
至,p,3,0.001105,0.001105
勿,d,5,0.001842,0.001842
足,d,1,0.000368,0.000368
彼,r,3,0.001105,0.001105
且,c,1,0.000368,0.000368
从,p,3,0.001105,0.001105
犹,d,2,0.000737,0.000737
或,c,1,0.000368,0.000368
惟,d,1,0.000368,0.000368
遂,d,2,0.000737,0.000737
极,d,2,0.000737,0.000737
究,d,1,0.000368,0.000368
用,p,1,0.000368,0.000368
重,d,1,0.000368,0.000368
凡,d,1,0.000368,0.000368
还,d,1,0.000368,0.000368
愈,d,1,0.000368,0.000368
孰,r,1,0.000368,0.000368
耶,u,1,0.000368,0.000368
哉,u,1,0.000368,0.000368
也,d,1,0.000368,0.000368
终,d,3,0.001105,0.001105
