Word,PoS,Total Count,Word Frequency,Unary Probability
将,d,12,0.002785,0.002785
不,d,106,0.024600,0.024600
而,c,87,0.020190,0.020190
则,d,16,0.003713,0.003713
故,c,12,0.002785,0.002785
之,u,91,0.021119,0.021119
我,r,7,0.001625,0.001625
于,p,77,0.017870,0.017870
之,r,63,0.014621,0.014621
也,u,79,0.018334,0.018334
其,r,95,0.022047,0.022047
以,p,72,0.016709,0.016709
及,c,12,0.002785,0.002785
自,r,1,0.000232,0.000232
至,p,2,0.000464,0.000464
莫,d,5,0.001160,0.001160
非,d,5,0.001160,0.001160
除,p,2,0.000464,0.000464
乎,p,4,0.000928,0.000928
又,d,5,0.001160,0.001160
则,c,12,0.002785,0.002785
自,p,5,0.001160,0.001160
必,d,24,0.005570,0.005570
且,c,4,0.000928,0.000928
乎,u,25,0.005802,0.005802
吾,r,6,0.001392,0.001392
终,d,4,0.000928,0.000928
矣,u,12,0.002785,0.002785
遂,d,2,0.000464,0.000464
者,r,5,0.001160,0.001160
从,p,8,0.001857,0.001857
何,r,16,0.003713,0.003713
犹,d,8,0.001857,0.001857
甚,d,2,0.000464,0.000464
亦,d,12,0.002785,0.002785
故,d,1,0.000232,0.000232
为,p,5,0.001160,0.001160
焉,u,11,0.002553,0.002553
备,d,1,0.000232,0.000232
所,u,19,0.004409,0.004409
若,c,7,0.001625,0.001625
与,p,2,0.000464,0.000464
或,c,3,0.000696,0.000696
皆,d,6,0.001392,0.001392
焉,r,3,0.000696,0.000696
也,d,1,0.000232,0.000232
以,c,2,0.000464,0.000464
彼,r,1,0.000232,0.000232
尔,r,1,0.000232,0.000232
极,d,1,0.000232,0.000232
既,c,4,0.000928,0.000928
在,p,12,0.002785,0.002785
此,r,1,0.000232,0.000232
乎,d,1,0.000232,0.000232
先,d,2,0.000464,0.000464
俱,d,2,0.000464,0.000464
即,d,2,0.000464,0.000464
各,r,2,0.000464,0.000464
正,d,2,0.000464,0.000464
再,d,1,0.000232,0.000232
用,p,1,0.000232,0.000232
和,c,3,0.000696,0.000696
同,p,2,0.000464,0.000464
唯,d,1,0.000232,0.000232
乃,c,1,0.000232,0.000232
欲,d,3,0.000696,0.000696
将,p,4,0.000928,0.000928
对,p,8,0.001857,0.001857
然,c,2,0.000464,0.000464
实,d,1,0.000232,0.000232
边,d,1,0.000232,0.000232
孰,r,1,0.000232,0.000232
足,d,1,0.000232,0.000232
在,d,1,0.000232,0.000232
凭,p,1,0.000232,0.000232
谁,r,1,0.000232,0.000232
相,d,2,0.000464,0.000464
与,c,1,0.000232,0.000232
余,r,2,0.000464,0.000464
惟,d,2,0.000464,0.000464
然,r,1,0.000232,0.000232
未,d,1,0.000232,0.000232
诸,r,2,0.000464,0.000464
固,d,1,0.000232,0.000232
