Word,PoS,Total Count,Word Frequency,Unary Probability
及,c,13,0.002903,0.002903
不,d,110,0.024565,0.024565
而,c,83,0.018535,0.018535
遂,d,5,0.001117,0.001117
自,p,11,0.002456,0.002456
以,p,93,0.020768,0.020768
于,p,72,0.016079,0.016079
且,c,8,0.001787,0.001787
恐,d,1,0.000223,0.000223
若,c,23,0.005136,0.005136
之,r,85,0.018982,0.018982
何,r,32,0.007146,0.007146
对,p,20,0.004466,0.004466
益,d,2,0.000447,0.000447
已,d,1,0.000223,0.000223
也,u,81,0.018088,0.018088
其,r,88,0.019652,0.019652
在,p,12,0.002680,0.002680
之,u,121,0.027021,0.027021
常,d,2,0.000447,0.000447
亦,d,6,0.001340,0.001340
莫,d,4,0.000893,0.000893
勿,d,4,0.000893,0.000893
从,p,13,0.002903,0.002903
皆,d,6,0.001340,0.001340
欲,d,4,0.000893,0.000893
孰,r,2,0.000447,0.000447
则,c,10,0.002233,0.002233
矣,u,24,0.005360,0.005360
吾,r,20,0.004466,0.004466
与,c,6,0.001340,0.001340
各,r,1,0.000223,0.000223
所,u,9,0.002010,0.002010
谁,r,4,0.000893,0.000893
与,p,6,0.001340,0.001340
复,d,1,0.000223,0.000223
彼,r,2,0.000447,0.000447
焉,u,13,0.002903,0.002903
犹,d,3,0.000670,0.000670
以,c,6,0.001340,0.001340
乎,u,14,0.003126,0.003126
尽,d,1,0.000223,0.000223
者,r,5,0.001117,0.001117
将,d,12,0.002680,0.002680
为,p,7,0.001563,0.001563
岂,d,1,0.000223,0.000223
必,d,19,0.004243,0.004243
再,d,1,0.000223,0.000223
故,c,6,0.001340,0.001340
固,d,1,0.000223,0.000223
未,d,4,0.000893,0.000893
也,d,13,0.002903,0.002903
我,r,5,0.001117,0.001117
乃,c,1,0.000223,0.000223
还,d,1,0.000223,0.000223
终,d,3,0.000670,0.000670
此,r,8,0.001787,0.001787
非,d,4,0.000893,0.000893
先,d,4,0.000893,0.000893
和,c,12,0.002680,0.002680
可,c,3,0.000670,0.000670
唯,d,4,0.000893,0.000893
遍,d,1,0.000223,0.000223
又,d,3,0.000670,0.000670
直,d,2,0.000447,0.000447
比,p,1,0.000223,0.000223
正,d,1,0.000223,0.000223
则,d,3,0.000670,0.000670
将,p,1,0.000223,0.000223
相,d,3,0.000670,0.000670
己,r,2,0.000447,0.000447
别,d,1,0.000223,0.000223
就,d,1,0.000223,0.000223
和,p,1,0.000223,0.000223
自,r,2,0.000447,0.000447
尚,d,1,0.000223,0.000223
纵,c,1,0.000223,0.000223
焉,r,1,0.000223,0.000223
等,u,1,0.000223,0.000223
足,d,2,0.000447,0.000447
随,p,1,0.000223,0.000223
徒,d,1,0.000223,0.000223
甚,d,1,0.000223,0.000223
同,p,1,0.000223,0.000223
或,c,1,0.000223,0.000223
略,d,1,0.000223,0.000223
然,r,1,0.000223,0.000223
