,Jin-8,Jin-5,Lu-1,Zheng,Jin-3,Jin-9,Zhou-1,Chu-1,Jin-4,Yue-1,Jin-2,Zhou-2,Jin-7,Chu-2,Jin-1,Wu,Yue-2,Zhou-3,Qi,Jin-6,Lu-2,Min,Xuan,Ai,Xi,Xiang,Ding,Zhao,Wen,Cheng,Huan,Yin,Zhuang
Ai,0.9295988961060945,0.8918036985184193,0.9068324437744947,0.775151483690506,0.9115016007577748,0.9442339543722095,0.8910730006546208,0.9070007585560601,0.9353871259491652,0.8217256412481597,0.93662516484015,0.9048182033824579,0.883647342404905,0.8953714121547018,0.9141277036771528,0.911375428642724,0.8847649497466361,0.8621998008874969,0.8826826232095776,0.9019162132644108,0.9200648873136674,0.929567921246689,0.97050212729455,1.0,0.976182279390621,0.9761859649508191,0.9806055725159124,0.9734880757099857,0.9658792693257043,0.9761991931865652,0.920156186265557,0.9337300650280368,0.9395551833041447
Xi,0.9404173955109182,0.9020862087720191,0.9282213022075044,0.8017179917312197,0.9120669129609766,0.9453548771264538,0.8993343007781647,0.9173934592828836,0.955607456002616,0.8337924432639376,0.9362490394822411,0.9079820782325707,0.8855872072615758,0.9211849794469039,0.9236292445435442,0.9073398759435237,0.8801076914426289,0.8853625047119418,0.8939900445898743,0.9053880299102519,0.9363102451871009,0.9270810523153202,0.9701274242732142,0.976182279390621,1.0,0.9817720628849644,0.9691939180108967,0.9761476002098299,0.9731000666764783,0.979604548488719,0.9389448775204057,0.9499519237054149,0.948761711963733
Xiang,0.9491201442361552,0.9063569198115894,0.9373764190526512,0.8130548046562062,0.9097649032978236,0.9389117512950993,0.9100905086912036,0.9242492783568996,0.9597299171600497,0.8429243524916582,0.9306735427827991,0.9211000990913634,0.9039167339575795,0.9235668839345826,0.9283474555196354,0.9111744377657162,0.8750587921069273,0.8985579750805957,0.8988869016619023,0.9047276585328179,0.9445921510333679,0.9328473673637245,0.9691280832275431,0.9761859649508191,0.9817720628849644,1.0,0.9742026951797923,0.9891477151604411,0.9758277015458302,0.9820876773763714,0.9370068368902431,0.9464928685937567,0.9461016326234559
Ding,0.934981409879916,0.8848472689833742,0.9088333499355687,0.7911062762736869,0.9053858043086651,0.9299873512389213,0.8956260764349683,0.9075976589330921,0.9362378759136077,0.8242295116588427,0.9287237887981664,0.9080510928823278,0.8782766915639881,0.8951877485177857,0.9075656852355962,0.913284229096613,0.8939248075907932,0.8620618112339669,0.8865180445184093,0.9014419818100899,0.9229634888475493,0.9174873860070274,0.9613101824780932,0.9806055725159124,0.9691939180108967,0.9742026951797923,0.9999999999999996,0.9747280915993053,0.9621220682293723,0.9684503695741316,0.9342343557156556,0.9372033934618083,0.9406156813876874
Zhao,0.9487047802097437,0.904519663547271,0.9352003214443483,0.8122719093157862,0.9037771835242572,0.9299668968244266,0.9213088128850896,0.9283368860601118,0.9587336195539258,0.8463566014212416,0.9311992599951184,0.9254520867695399,0.9128627556581845,0.9308613011679511,0.9315131459368496,0.9172084500154978,0.8729657326295952,0.9115857165106467,0.9104071482041183,0.9151994138034576,0.9503856318123196,0.9225325629192827,0.968694764961642,0.9734880757099857,0.9761476002098299,0.9891477151604411,0.9747280915993053,1.0000000000000002,0.9739508008423576,0.9815680557058941,0.9359333869492293,0.9441964721188539,0.9408567586817034
Wen,0.9184910707778389,0.8643930922619631,0.9188373348847312,0.808239865715224,0.881915165646401,0.9016775208943484,0.9078545990262332,0.9110474949068067,0.9471605334825894,0.8303350592438278,0.9161183304101082,0.9114248124438333,0.8930692136457192,0.9072898033498868,0.9115579947305668,0.9059819159432836,0.858273212041747,0.9049300792333396,0.8938832721248984,0.8968996506908519,0.9232734938460877,0.9238035972750815,0.9628676607854119,0.9658792693257043,0.9731000666764783,0.9758277015458302,0.9621220682293723,0.9739508008423576,0.9999999999999998,0.9749522518801863,0.9501642290557065,0.9603272563897536,0.9512833127257916
Cheng,0.9275342210406812,0.8880538429854621,0.9254748068627393,0.7947462814062043,0.9013623660953213,0.9269940705550399,0.9118732649805187,0.9214585833520528,0.9534345609480748,0.8367122024509834,0.9354153551630914,0.9213785135425254,0.9008732409519531,0.9174662403889555,0.9278983472205709,0.9208132927905344,0.8757680114051362,0.8979656428587445,0.896310187140622,0.9091272560395556,0.9356915384781339,0.9268143046620956,0.9721951952227328,0.9761991931865652,0.979604548488719,0.9820876773763714,0.9684503695741316,0.9815680557058941,0.9749522518801863,1.0,0.9386479986433429,0.9487644874467507,0.9444331285565662
Huan,0.8839629490980331,0.8157403634486572,0.8868372541110627,0.8149036305735711,0.8321159401220856,0.8535912003603822,0.8786770344596396,0.88009979223055,0.9171492131843456,0.8010865234657143,0.8747565369760654,0.8846592772969042,0.8531722873850456,0.8703377807431935,0.8759129037972861,0.8705708836229904,0.8157289722769658,0.8787816203980346,0.8700003767444837,0.8683651207207495,0.8894538853408576,0.8959406702945121,0.9275824015926539,0.920156186265557,0.9389448775204057,0.9370068368902431,0.9342343557156556,0.9359333869492293,0.9501642290557065,0.9386479986433429,1.0,0.9573308284712505,0.9498154527414355
Yin,0.8889555128924123,0.8409164640520734,0.9076046256316452,0.8127057294652338,0.844178930961755,0.8767775214432261,0.8726099443960764,0.8826056906738033,0.9246541423161396,0.8034478194419274,0.886040864265907,0.8783262013274563,0.8743314730869243,0.888693555440436,0.8758393239174294,0.8800801461209995,0.8325353487456513,0.881317294045179,0.8789868905095324,0.8691073379721359,0.9054417403594467,0.8910609680351697,0.9424070579351267,0.9337300650280368,0.9499519237054149,0.9464928685937567,0.9372033934618083,0.9441964721188539,0.9603272563897536,0.9487644874467507,0.9573308284712505,1.0,0.9456950750501523
Zhuang,0.8974771760101374,0.8556950777774797,0.8880598069597301,0.7791927884758327,0.8431001987342615,0.8892250792671927,0.873887367559625,0.8721467686420763,0.9121205821564754,0.8096805945467982,0.8916022730189322,0.8771033369356962,0.8723004060610062,0.8640806179881112,0.8704728606634884,0.8810523474966285,0.8470185732162607,0.845801492491876,0.8701239958218738,0.8755005462792992,0.8967181552300532,0.9009808422444923,0.9448276102649369,0.9395551833041447,0.948761711963733,0.9461016326234559,0.9406156813876874,0.9408567586817034,0.9512833127257916,0.9444331285565662,0.9498154527414355,0.9456950750501523,1.0
