Text Category,Statistic,p-value,Result,Mean (Text 1),Std Dev (Text 1),Mean (Text 2),Std Dev (Text 2),Mean Difference,Std Dev Difference
庄公.txt vs 成公.txt,-15.11797295315827,8.425111292902253e-35,Significant,1.22,0.46231739501923824,2.18,0.43531017619043627,-0.9600000000000002,0.02700721882880197
庄公.txt vs 文公.txt,-5.173849155493313,6.415479029123959e-07,Significant,1.22,0.46231739501923824,1.66,0.7137891491854932,-0.43999999999999995,-0.25147175416625495
庄公.txt vs 昭公.txt,-13.238466998357627,2.9461983535490115e-25,Significant,1.22,0.46231739501923824,3.16,1.390588858626938,-1.9400000000000002,-0.9282714636076996
庄公.txt vs 桓公.txt,1.1622724263194315,0.24656835964285373,Not Significant,1.22,0.46231739501923824,1.15,0.38599209705627363,0.07000000000000006,0.07632529796296461
庄公.txt vs 襄公.txt,-13.103228517217472,4.0276278017308107e-26,Significant,1.22,0.46231739501923824,2.65,0.9885710532241613,-1.43,-0.5262536582049231
庄公.txt vs 闵公.txt,4.138602141020672,6.611201999108205e-05,Significant,1.22,0.46231739501923824,1.02,0.14070529413628952,0.19999999999999996,0.3216121008829487
庄公.txt vs 隐公.txt,-1.6012584978629847,0.11100479847228695,Not Significant,1.22,0.46231739501923824,1.34,0.5898125023079694,-0.1200000000000001,-0.1274951072887312
成公.txt vs 文公.txt,6.219677890661528,4.0034787980693596e-09,Significant,2.18,0.43531017619043627,1.66,0.7137891491854932,0.5200000000000002,-0.2784789729950569
成公.txt vs 昭公.txt,-6.725542433706948,6.573554249223394e-10,Significant,2.18,0.43531017619043627,3.16,1.390588858626938,-0.98,-0.9552786824365016
成公.txt vs 桓公.txt,17.7038453859695,1.8445167573265685e-42,Significant,2.18,0.43531017619043627,1.15,0.38599209705627363,1.0300000000000002,0.04931807913416264
成公.txt vs 襄公.txt,-4.351166110838616,2.6394063617742664e-05,Significant,2.18,0.43531017619043627,2.65,0.9885710532241613,-0.46999999999999975,-0.5532608770337251
成公.txt vs 闵公.txt,25.355998125229494,6.580053957072414e-50,Significant,2.18,0.43531017619043627,1.02,0.14070529413628952,1.1600000000000001,0.29460488205414675
成公.txt vs 隐公.txt,11.458850865505442,3.059062653776523e-23,Significant,2.18,0.43531017619043627,1.34,0.5898125023079694,0.8400000000000001,-0.15450232611753317
文公.txt vs 昭公.txt,-9.596411806681699,2.99245221449311e-17,Significant,1.66,0.7137891491854932,3.16,1.390588858626938,-1.5000000000000002,-0.6767997094414447
文公.txt vs 桓公.txt,6.284884239455759,3.28280593886928e-09,Significant,1.66,0.7137891491854932,1.15,0.38599209705627363,0.51,0.32779705212921956
文公.txt vs 襄公.txt,-8.119207473346414,7.153179966924625e-14,Significant,1.66,0.7137891491854932,2.65,0.9885710532241613,-0.99,-0.2747819040386681
文公.txt vs 闵公.txt,8.796946034959218,2.715494236240795e-14,Significant,1.66,0.7137891491854932,1.02,0.14070529413628952,0.6399999999999999,0.5730838550492037
文公.txt vs 隐公.txt,3.4559296254223413,0.0006756111118352068,Significant,1.66,0.7137891491854932,1.34,0.5898125023079694,0.31999999999999984,0.12397664687752374
昭公.txt vs 桓公.txt,13.927714489590015,2.2655723741177375e-26,Significant,3.16,1.390588858626938,1.15,0.38599209705627363,2.0100000000000002,1.0045967615706644
昭公.txt vs 襄公.txt,2.989154203729365,0.0031915574400724835,Significant,3.16,1.390588858626938,2.65,0.9885710532241613,0.5100000000000002,0.40201780540277665
昭公.txt vs 闵公.txt,15.310985167668024,4.439200575958319e-28,Significant,3.16,1.390588858626938,1.02,0.14070529413628952,2.14,1.2498835644906485
昭公.txt vs 隐公.txt,12.048974791187941,4.3874695450617454e-23,Significant,3.16,1.390588858626938,1.34,0.5898125023079694,1.82,0.8007763563189685
桓公.txt vs 襄公.txt,-14.134206194667009,6.039880150302012e-28,Significant,1.15,0.38599209705627363,2.65,0.9885710532241613,-1.5,-0.6025789561678876
桓公.txt vs 闵公.txt,3.1642641048046385,0.0019531012721419217,Significant,1.15,0.38599209705627363,1.02,0.14070529413628952,0.1299999999999999,0.24528680291998411
桓公.txt vs 隐公.txt,-2.6954593519683154,0.007732726389091227,Significant,1.15,0.38599209705627363,1.34,0.5898125023079694,-0.19000000000000017,-0.2038204052516958
襄公.txt vs 闵公.txt,16.32392631561455,2.474224756965375e-30,Significant,2.65,0.9885710532241613,1.02,0.14070529413628952,1.63,0.8478657590878718
襄公.txt vs 隐公.txt,11.379902127069393,2.0810959592143392e-22,Significant,2.65,0.9885710532241613,1.34,0.5898125023079694,1.3099999999999998,0.39875855091619183
闵公.txt vs 隐公.txt,-5.277361978351443,6.62552952211045e-07,Significant,1.02,0.14070529413628952,1.34,0.5898125023079694,-0.32000000000000006,-0.44910720817167993
